analysis_type,dataset,metric_x,metric_y,spearman
prospective_final,aldol,failure_recall_mean,failure_recall_mean,1.0
prospective_final,aldol,failure_recall_mean,failure_cluster_coverage_mean,0.4996375631512338
prospective_final,aldol,failure_recall_mean,boundary_coverage_mean,-0.629366026291895
prospective_final,aldol,failure_recall_mean,boundary_enrichment_mean,-0.629366026291895
prospective_final,aldol,failure_recall_mean,coverage_radius_mean,-0.05139694254085398
prospective_final,aldol,failure_cluster_coverage_mean,failure_recall_mean,0.4996375631512338
prospective_final,aldol,failure_cluster_coverage_mean,failure_cluster_coverage_mean,1.0
prospective_final,aldol,failure_cluster_coverage_mean,boundary_coverage_mean,-0.6041052726195296
prospective_final,aldol,failure_cluster_coverage_mean,boundary_enrichment_mean,-0.6041052726195296
prospective_final,aldol,failure_cluster_coverage_mean,coverage_radius_mean,0.005938639815585188
prospective_final,aldol,boundary_coverage_mean,failure_recall_mean,-0.629366026291895
prospective_final,aldol,boundary_coverage_mean,failure_cluster_coverage_mean,-0.6041052726195296
prospective_final,aldol,boundary_coverage_mean,boundary_coverage_mean,1.0
prospective_final,aldol,boundary_coverage_mean,boundary_enrichment_mean,1.0
prospective_final,aldol,boundary_coverage_mean,coverage_radius_mean,0.19322525540186763
prospective_final,aldol,boundary_enrichment_mean,failure_recall_mean,-0.629366026291895
prospective_final,aldol,boundary_enrichment_mean,failure_cluster_coverage_mean,-0.6041052726195296
prospective_final,aldol,boundary_enrichment_mean,boundary_coverage_mean,1.0
prospective_final,aldol,boundary_enrichment_mean,boundary_enrichment_mean,1.0
prospective_final,aldol,boundary_enrichment_mean,coverage_radius_mean,0.19322525540186763
prospective_final,aldol,coverage_radius_mean,failure_recall_mean,-0.05139694254085398
prospective_final,aldol,coverage_radius_mean,failure_cluster_coverage_mean,0.005938639815585188
prospective_final,aldol,coverage_radius_mean,boundary_coverage_mean,0.19322525540186763
prospective_final,aldol,coverage_radius_mean,boundary_enrichment_mean,0.19322525540186763
prospective_final,aldol,coverage_radius_mean,coverage_radius_mean,1.0
prospective_final,buchwald_hartwig,failure_recall_mean,failure_recall_mean,1.0
prospective_final,buchwald_hartwig,failure_recall_mean,failure_cluster_coverage_mean,-0.2491069154788616
prospective_final,buchwald_hartwig,failure_recall_mean,boundary_coverage_mean,-0.07491311685175497
prospective_final,buchwald_hartwig,failure_recall_mean,boundary_enrichment_mean,-0.07491311685175497
prospective_final,buchwald_hartwig,failure_recall_mean,coverage_radius_mean,-0.13952889805378418
prospective_final,buchwald_hartwig,failure_cluster_coverage_mean,failure_recall_mean,-0.2491069154788616
prospective_final,buchwald_hartwig,failure_cluster_coverage_mean,failure_cluster_coverage_mean,1.0
prospective_final,buchwald_hartwig,failure_cluster_coverage_mean,boundary_coverage_mean,0.07210729698660381
prospective_final,buchwald_hartwig,failure_cluster_coverage_mean,boundary_enrichment_mean,0.07210729698660381
prospective_final,buchwald_hartwig,failure_cluster_coverage_mean,coverage_radius_mean,-0.21919941220106087
prospective_final,buchwald_hartwig,boundary_coverage_mean,failure_recall_mean,-0.07491311685175497
